frame,x_px,y_px,radius_px
0,447.92,502.98,21.97
1,450.61,484.97,22.05
2,454.20,466.02,22.13
3,456.66,448.04,22.23
4,459.87,431.45,22.24
5,462.87,414.10,22.04
6,465.86,396.90,21.95
7,467.96,380.81,22.21
8,470.99,366.18,22.01
9,473.97,351.32,22.32
10,475.77,336.02,22.29
11,479.09,321.98,22.10
12,481.22,308.99,21.57
13,482.72,296.10,22.04
14,485.28,282.80,22.19
15,487.01,271.08,22.25
16,489.39,259.04,21.86
17,490.71,248.06,22.05
18,493.29,238.21,22.28
19,495.17,227.83,22.15
20,496.10,218.00,22.18
21,497.62,209.06,21.80
22,498.78,200.10,22.00
23,501.48,191.99,22.25
24,502.14,184.00,22.31
25,503.14,177.07,22.09
26,504.13,171.12,21.86
27,505.31,165.23,21.65
28,506.00,159.23,22.05
29,506.64,153.73,22.05
30,507.89,149.11,22.42
31,509.23,144.89,22.23
32,509.19,141.02,22.11
33,510.23,137.56,22.08
34,510.09,135.20,22.32
35,511.02,133.12,21.82
36,510.98,130.32,22.07
37,510.94,129.94,22.09
38,511.07,129.34,22.18
39,512.00,129.30,22.28
40,545.49,152.99,21.75
41,580.10,176.98,22.34
42,614.17,199.95,22.33
43,648.01,224.35,22.28
44,682.68,247.99,22.12
45,717.38,271.94,22.34
46,751.22,295.61,22.18
47,785.24,319.25,22.11
48,818.76,343.17,22.05
49,854.09,367.16,22.30
50,888.01,390.82,21.98
51,921.99,413.94,22.23
52,956.03,438.11,22.37
53,990.12,461.93,22.17
54,1025.41,486.08,21.74
55,1058.82,509.89,22.01
56,1093.30,533.03,21.99
57,1127.06,556.78,21.91
58,1161.91,580.48,22.16
59,1195.81,604.76,22.75
60,1229.99,628.89,22.19
